2024-11-14 13:28:41,767 - INFO - number of parameters: 16.52M
2024-11-14 13:31:05,718 - INFO - Change 1: Shape of q: torch.Size([8, 8, 296, 64]), Shape of k: torch.Size([8, 2, 296, 64]), Shape of v: torch.Size([8, 2, 296, 64])
2024-11-14 13:31:06,046 - INFO - Change 1: Shape of q: torch.Size([8, 8, 296, 64]), Shape of k: torch.Size([8, 2, 296, 64]), Shape of v: torch.Size([8, 2, 296, 64])
2024-11-14 13:31:06,371 - INFO - Change 1: Shape of q: torch.Size([8, 8, 296, 64]), Shape of k: torch.Size([8, 2, 296, 64]), Shape of v: torch.Size([8, 2, 296, 64])
2024-11-14 13:31:06,690 - INFO - Change 1: Shape of q: torch.Size([8, 8, 296, 64]), Shape of k: torch.Size([8, 2, 296, 64]), Shape of v: torch.Size([8, 2, 296, 64])
2024-11-14 13:31:12,883 - INFO - Change 1: Shape of q: torch.Size([8, 8, 96, 64]), Shape of k: torch.Size([8, 2, 96, 64]), Shape of v: torch.Size([8, 2, 96, 64])
2024-11-14 13:31:13,026 - INFO - Change 1: Shape of q: torch.Size([8, 8, 96, 64]), Shape of k: torch.Size([8, 2, 96, 64]), Shape of v: torch.Size([8, 2, 96, 64])
2024-11-14 13:31:13,102 - INFO - Change 1: Shape of q: torch.Size([8, 8, 96, 64]), Shape of k: torch.Size([8, 2, 96, 64]), Shape of v: torch.Size([8, 2, 96, 64])
2024-11-14 13:31:13,184 - INFO - Change 1: Shape of q: torch.Size([8, 8, 96, 64]), Shape of k: torch.Size([8, 2, 96, 64]), Shape of v: torch.Size([8, 2, 96, 64])
2024-11-14 13:31:13,264 - INFO - Change 1: Shape of q: torch.Size([8, 8, 96, 64]), Shape of k: torch.Size([8, 2, 96, 64]), Shape of v: torch.Size([8, 2, 96, 64])
2024-11-14 13:31:13,346 - INFO - Change 1: Shape of q: torch.Size([8, 8, 96, 64]), Shape of k: torch.Size([8, 2, 96, 64]), Shape of v: torch.Size([8, 2, 96, 64])
2024-11-14 13:31:15,316 - INFO - Change 1: Shape of q: torch.Size([8, 8, 119, 64]), Shape of k: torch.Size([8, 2, 119, 64]), Shape of v: torch.Size([8, 2, 119, 64])
2024-11-14 13:31:15,398 - INFO - Change 1: Shape of q: torch.Size([8, 8, 119, 64]), Shape of k: torch.Size([8, 2, 119, 64]), Shape of v: torch.Size([8, 2, 119, 64])
2024-11-14 13:31:15,500 - INFO - Change 1: Shape of q: torch.Size([8, 8, 119, 64]), Shape of k: torch.Size([8, 2, 119, 64]), Shape of v: torch.Size([8, 2, 119, 64])
2024-11-14 13:31:15,596 - INFO - Change 1: Shape of q: torch.Size([8, 8, 119, 64]), Shape of k: torch.Size([8, 2, 119, 64]), Shape of v: torch.Size([8, 2, 119, 64])
2024-11-14 13:31:15,691 - INFO - Change 1: Shape of q: torch.Size([8, 8, 119, 64]), Shape of k: torch.Size([8, 2, 119, 64]), Shape of v: torch.Size([8, 2, 119, 64])
2024-11-14 13:31:15,775 - INFO - Change 1: Shape of q: torch.Size([8, 8, 119, 64]), Shape of k: torch.Size([8, 2, 119, 64]), Shape of v: torch.Size([8, 2, 119, 64])
2024-11-14 13:31:18,259 - INFO - Change 1: Shape of q: torch.Size([8, 8, 285, 64]), Shape of k: torch.Size([8, 2, 285, 64]), Shape of v: torch.Size([8, 2, 285, 64])
2024-11-14 13:31:18,571 - INFO - Change 1: Shape of q: torch.Size([8, 8, 285, 64]), Shape of k: torch.Size([8, 2, 285, 64]), Shape of v: torch.Size([8, 2, 285, 64])
2024-11-14 13:31:18,854 - INFO - Change 1: Shape of q: torch.Size([8, 8, 285, 64]), Shape of k: torch.Size([8, 2, 285, 64]), Shape of v: torch.Size([8, 2, 285, 64])
2024-11-14 13:31:19,145 - INFO - Change 1: Shape of q: torch.Size([8, 8, 285, 64]), Shape of k: torch.Size([8, 2, 285, 64]), Shape of v: torch.Size([8, 2, 285, 64])
2024-11-14 13:31:19,425 - INFO - Change 1: Shape of q: torch.Size([8, 8, 285, 64]), Shape of k: torch.Size([8, 2, 285, 64]), Shape of v: torch.Size([8, 2, 285, 64])
2024-11-14 13:31:19,723 - INFO - Change 1: Shape of q: torch.Size([8, 8, 285, 64]), Shape of k: torch.Size([8, 2, 285, 64]), Shape of v: torch.Size([8, 2, 285, 64])
2024-11-14 13:31:28,984 - INFO - Change 1: Shape of q: torch.Size([8, 8, 7002, 64]), Shape of k: torch.Size([8, 2, 7002, 64]), Shape of v: torch.Size([8, 2, 7002, 64])
